specification	规范
abstract module	抽象模块
access	访问、存取
access control	访问控制
access control information	访问控制信息
access mechanism	访问机制
access rights	访问权限
accessibility	无障碍性
accessibility information	无障碍网页信息
accessibility problem	无障碍网页问题
accessible	无障碍的
accessible authoring practice	无障碍创作实践
acquired infoset	获取信息集
ACSS (Audio cascading style sheets)	ACSS (音频层叠样式表)
activate	激活、启用
active grammar	正在使用的文法
active perceivable unit	使用中的可视单元
activity	活动
actor	角色
adaptation	适应、适配
adaptation preferences	适配偏好设定
additional characters	附加字符
advisory board	咨询常委会
advisory committee	咨询委员会
age	寿命
agent	代理
aggregated authored units	集成创作单元
aggregation	集成
alert	警告 (信号)
alpha	alpha
alpha compaction	alpha 压缩、透明度
alpha separation	alpha 分割
alpha table	alpha 表
alternative information	可选信息
amaya	amaya
ancestor	祖先、前辈结点
anchor	锚点
ancillary chunk	辅助数据块
animation	动画
annotation	标注
anonymity	匿名性
antecedent	前提
apache	apache
applet	applet (应用小程序)
application	应用程序、应用
application personalization	应用程序个性化
application programming interface (API), conventional input/output/device API	应用程序编程界面 (API)，通用输入/输出/设备 API
arc	弧
architecture	架构
argument	参数
artifact	物件
ASCII art	ASCII 艺术
ASR	自动语音识别
assertion	断言
assistive technology	辅助技术
asynchronous	异步的
asynchronous exchange	异步交换
at user option	用户可选择的
atomic	原子的
atomic test	原子性测试
attribute	属性
attribute name	属性名
attribute specifications	属性规范
attribute value	属性值
attribute, or CC/PP attribute	CC/PP 属性
attribute-list declarations	属性列表声明
audio	音频、音讯
audio description	音频描述
audio track	音轨
audio-only presentation	纯音频演示
audit guard	稽核防护机制
auditory description	听觉描述
authentication	身份验证
author	作者
author styles	作者样式
authored unit	创作单元
authoring	创作
authoring tool	创作工具
authorization	授权
axis	座标轴
Terms in English	Chinese Simplified
back link	返回链接
background image interference	背景图象干扰
backward compatible	向下兼容
base text	基础文本
baseline	基准线
basic readability	基本可读性
binding	绑定
binding expression	绑定表达式
bit depth	色彩深度
black box	黑框
bopomofo	注音符号
bot	自动代理程序
bounding box	边界框、区域框
box	框
braille	盲文
bridge	网桥
browser	浏览器
button	按钮
byte	字节
byte order	字节序
Terms in English	Chinese Simplified
cache	高速缓存
cacheable	可缓存的
Candidate Recommendation (CR)	候选推荐标准 (CR)
capability	性能
captions	字幕
card	卡
cascading style sheets (CSS)	层叠样式表 (CSS)
catch element	catch 元素
CC/PP processor	CC/PP 处理器
CC/PP repository	CC/PP 资料储存库
CDATA sections	CDATA 段
CERN	欧洲粒子物理研究所
certification	认证
chair	主持、(小组的) 主席
chairman	主席
channel	通道
character	字符
character data	字符数据
character data (CDATA)	字符数据 (CDATA)
character encoding	字符编码
character or expression depth	字符或表达式深度
character or expression height	字符或表达式高度
character or expression width	字符或表达式宽度
character reference	字符引用
check for	检查
child	子 (元素)
child	子 (节点)
choice	选项
choreography	(Webservice) 编排
chromaticity (CIE)	色度 (CIE)
chunk	数据块
class	类
class definition	类定义
class description	类描述
class name	类名
class of products	产品类别
click-stream	点击流
client	客户端
collapse	折叠
collated text transcript	按序文字记录
colour type	色彩类型、颜色类型
comm	通信
comments	注释
complete	完备的
complex ruby markup	复杂旁注标记
compliance	一致性
component	组件
composite (verb)	组合
computed expression	计算所得的表达式
concept	概念
condition	条件
conditional content	条件内容
conditional sections	条件段
confidentiality	机密性
confidentiality	机密性、保密性
configuration	配置
configure, control	配置，控制
conformance	一致性
conformance clause	一致性条款
conformance level	一致性级别
conformance testing	一致性测试
conforming document	一致性文档
connection	(网络) 连接
consequent	结论
consistent	一致的
constraint	限制
constraint onstraint	 
contained (element A is contained in B)	包含于 (元素A包含于元素B)
container (Constructor)	容器 (构造器)
containing document	容器文档
content	内容
content developer	内容开发者
content elements	内容元素
content generation	内容生成
content model	内容模型
content negotiation	内容协商
content provider	内容供应商
content selection	内容选择
content set	内容集
content token element	内容记号元素
context (of a given mathML expression)	(给定 mathML 表达式的) 上下文
context node	上下文节点
context position	上下文位置
context size	上下文大小
contradictory behaviors	矛盾行为
control	控制
control item	控制项目
convenience	便利
conversation	会话
conversion tool	转换工具
COO	首席运营官
cookie	cookie
correct	正确的
credentials	凭证
critical chunk	关键数据块
CSS (Cascading style sheets)	CSS (层叠样式表)
CSS W3C cascading style sheet specification	CSS W3C 层叠样式表规范
cyberspace	网络空间
cyc	cyc (知识表示项目)
Terms in English	Chinese Simplified
daemon	独立后台程序
data category	数据类型
data element	数据元素
data model	数据模型
data resource	数据资源
data schema	数据纲目
data set	数据集
data structure	数据结构
data-valued property	数据类型属性
database	数据库
datastream	数据流
datatype	数据类型
datatype property	数据类型属性
date space	纲站编年区
decideable	可判定的
declaration	声明
declared	已声明的
decomposition	分解
deepest	最深的
default	默认
default namespace	默认命名空间
deferred request authentication	推迟请求验证
defining required attributes	定义必要属性
defining the type of attribute values	定义属性值类型
deflate	deflate (一种压缩算法)
delivered image	传送完成的图象
delivery context	传送上下文
delivery policy	传送政策
delivery unit	传送单位
deprecated	弃用
deprecated feature	已弃用的功能
depth	深度
dereference a URI	重新访问 URI
descendant	子节点
descendants	子节点
device	设备
device independent	与设备无关的
device-independence	设备无关
dialog	对话
digital rights management	数字版权管理
digital signature	数字签名
dimensions of variability (DoV)	变化维 (DoV)
direct sub-expression (of a mathML expression of)	(mathML 表达式的) 直接子表达式
directly contained (element A in B)	(A) 直接包含于 (B)
director	领导人、总监
discovery	探索
discovery service	探索服务
discretionary choices	任意选项
discretionary item	任意项目
document	文档
